date,phone number,action,format
2022-12-18 19:38:24.375543,1111111111,add,1
2022-12-18 19:39:34.294667,2222222222,add,1
2022-12-18 19:39:46.771311,2222222222,edit,1
2022-12-18 19:40:34.477455,3333333333,add,1
2022-12-18 19:41:06.561189,4444444444,add,1
2022-12-18 19:43:36.983291,1111111111,add,2
2022-12-18 19:44:08.141258,5555555555,add,1
2022-12-18 19:44:27.750958,3333333333,edit,1
2022-12-18 19:49:35.935280,3333333333,edit,1
2022-12-18 19:49:39.714844,3333333333,edit,1
2022-12-18 19:52:45.127409,3333333333,edit,1
2022-12-18 19:57:36.544357,3333333333,edit,1
2022-12-18 19:59:20.968240,2222222222,add,2
2022-12-18 20:03:33.420432,2222222222,edit,2
2022-12-18 20:04:05.865407,2222222222,edit,2
2022-12-18 20:04:45.466160,3333333333,add,2
2022-12-18 20:06:30.688262,3333333333,edit,1
2022-12-18 20:06:48.305781,3333333333,edit,1
2022-12-18 20:07:11.638862,3333333333,edit,1
2022-12-18 20:07:39.380838,5555555555,add,1
2022-12-18 20:08:02.241175,3333333333,edit,1
2022-12-18 20:08:16.056505,5555555555,edit,1
2022-12-18 20:11:45.510769,3333333333,edit,1
2022-12-18 20:15:15.417310,3333333333,edit,1
2022-12-18 20:23:28.305865,3333333333,edit,1
2022-12-18 20:26:14.233542,3333333333,edit,1
2022-12-18 20:26:14.252402,4444444444,edit,1
2022-12-18 20:26:14.256772,5555555555,edit,1
2022-12-18 20:27:56.170599,3333333333,edit,1
2022-12-18 20:32:25.276248,3333333333,edit,1
2022-12-18 20:32:31.283422,5555555555,edit,1
2022-12-18 20:33:51.632625,3333333333,edit,1
2022-12-18 20:34:34.326969,5555555555,edit,1
2022-12-18 20:35:11.778350,3333333333,edit,1
2022-12-18 20:35:46.654014,3333333333,edit,1
2022-12-18 20:35:50.366994,5555555555,edit,1
2022-12-18 20:36:04.665789,3333333333,edit,1
2022-12-18 20:36:16.793219,3333333333,edit,1
2022-12-18 20:36:29.460980,3333333333,edit,1
2022-12-18 20:36:49.722419,3333333333,edit,1
2022-12-18 20:36:51.961269,5555555555,edit,1
2022-12-18 20:37:09.467446,3333333333,edit,1
2022-12-18 20:37:11.491545,5555555555,edit,1
2022-12-18 20:49:19.616509,1111111111,delete,1
2022-12-18 20:50:40.662548,1111111111,delete,1
2022-12-18 20:51:10.880504,3333333333,delete,1
2022-12-18 20:51:10.884615,5555555555,delete,1
2022-12-18 20:52:14.953219,3333333333,delete,1
2022-12-18 20:52:14.973839,5555555555,delete,1
2022-12-18 20:52:27.043090,1111111111,delete,1
2022-12-18 20:53:07.195301,3333333333,edit,1
2022-12-18 20:53:17.375687,5555555555,edit,1
